"Data Source","World Development Indicators",

"Last Updated Date","2025-10-07",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1121229050.27933","1195530726.25698","1264245810.05587","1326256983.24022","1377094972.06704","1393586592.17877","1346423463.68715","1266650837.98883","1282296089.38547","1458098882.68156","1606588826.81564","1595335195.53073","1742107262.56983","1863013966.48045","1606810055.86592","1477511731.84358","1839933519.55307","1911810055.86592","2088122905.02793","2184551396.64804","2158564245.81006","2142859776.53631","2243516759.77654","2367134078.21229","2486899441.34078","1315200726.25698","2072291787.7095","2871730335.19553","3223287653.63128","",
"Africa Eastern and Southern","AFE","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52249174202.2885","51291828538.79","51962132243.4261","54538398680.7648","57750388134.964","66677967503.9641","69626112122.9755","70807867036.0461","66864928464.009","65806053879.6271","73509908268.7202","71134441187.8078","74439242800.9553","90760984709.2914","113729111448.314","142717428603.95","171620048404.65","212658305483.187","253742496787.207","195361084537.952","250751186021.738","297204623989.906","285487123251.459","280986177518.746","279925017212.566","216246583932.483","192767883867.273","232995474830.71","256174457178.484","241592762094.033","205739029586.49","281013856158.598","327245675975.611","299372166928.7","312046000763.182",
"Afghanistan","AFG","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","22222233.3333333","24444455.5555556","26666680","68888922.2222222","71111144.4444444","113333340","120000000","113333340","122222228.888889","142222222.222222","171111104.444444","199999988.888889","235555544.444444","224444437.777778","302222222.222222","300000006.666667","337777777.777778","344444451.111111","357777771.111111","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2079570874.83738","2045190335.08092","2664599570.76697","2890629761.30015","",
"Africa Western and Central","AFW","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8725779778.62591","9676099609.87075","13749775665.02","24225651509.9701","33245117538.7161","44319670720.5054","64168423018.915","41310610391.3885","51572807437.8831","67822781239.1048","71632968360.9542","67158241199.6324","60770402473.2912","26926846081.4949","14838933358.413","21373167719.7176","32444713329.5102","28919814315.7895","18583150428.118","31753057845.2236","46344761973.8705","34656621950.2738","30456566853.6029",
"Albania","ALB","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","378073684.210526","430536142.191142","373589755.244755","354685314.685315","335069930.06993","319090897.435897","327312512.5","333550012.5","348287487.5","418924987.5","312500000","82300000","81519209.6758071","189399541.45744","225407402.421557","356444754.173521","371808882.957132","230303548.05726","291949980.81503","540977918.899348","700083432.864841","836717868.578588","910729673.560494","1169850275.75683","1596261949.37986","1853023798.25729","2242665599.57462","3016116393.24477","3259293797.96584","3040047669.92651","3337086751.10777","3769456501.7368","3565050489.31975","3694413300.33386","3732057495.25976","3104897798.78826","3437126544.898","4110301305.54485","4785182304.44356","4821429218.47484","3435540416.01473","5613909458.07573","7073859853.81833","9104536340.60311","9813761313.74708",
"Andorra","AND","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","282706296324.08","293092062218.861","353184731800.125","468556317916.221","630553653733.037","772885025327.001","898805757307.684","1199862268163.22","844610889994.168","1049474983760.71","1357261254598.35","1523930018980.56","1507451693755.54","1423745023188.11","1040266407461.78","953670218808.442","1091141483975.71","1297104466484.15","1250082020508.15","931624929432.865","1280413945792.7","1792942499342.48","1705011616337.61","",
"United Arab Emirates","ARE","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50787202178.3526","54362695711.3683","69538461538.4615","93968596324.03","122070878148.4","152433690946.222","186690265486.726","248808168822.328","201958883594.282","238328114363.513","315867937372.362","375513955071.477","392244520081.688","402728114363.513","358529611980.939","360626276378.489","382137508509.19","400217835262.083","404863172226.004","350277358747.447","425155888359.428","521897345132.743","558401543008.85","",
"Argentina","ARG","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","1206418458.20125","1206915940.34785","860375634.171457","1441753549.59206","1424603255.4971","1764705803.20912","1904761830.17968","1818181857.73576","1714285705.23432","2000000041.3448","1769210602.71535","2000000003.29714","2500000047.48951","4000000136.32269","4999999839.57003","3054054017.48759","4695000304.43367","5459999880.58299","7665724159.60188","4508960596.80231","3895791554.63367","5445263189.73462","7663966255.62989","9515669466.75192","8873730058.64697","10345475059.3627","8641279278.3558","8566904947.15056","12094686105.3258","10006623327.0204","14643479947.2507","14561091033.0362","15095261860.4905","16357317317.3173","19385100000","24978532000","28381400000","30928400000","31137200000","27862300000","31223690400","31112418400","27736610298.2555","33084505277.8061","39266996605.7973","46198180131.0044","53550250227.3909","65162321195.025","79762958392.3012","65133480388.4946","80208867995.7171","97809980730.5834","88655850853.7721","80690471898.442","75818867911.0825","63671789068.8987","69842604407.3878","72860557902.7631","75766598613.0197","80259482469.139","64053810078.3073","87906118244.6601","102815821983.44","82369725072.6446","97106594824.1453",
"Armenia","ARM","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","789969495.783241","843376623.376623","506852687.730817","567247614.979354","517226106.17727","351337833.404042","371135639.068689","332378719.934774","359865213.08226","383089746.944268","423629630.453398","511522177.782582","661384145.809715","855676348.11756","1008274439.96626","1338474938.04723","1413899569.40957","1674567002.79826","1663675191.04852","1268730265.77942","1828759690.54548","2284326940.19769","2926877147.39263","3153322766.33811","3315721291.63587","3137020863.27486","3558717725.79882","4405338883.1041","4907543376.02549","5631685777.79462","3762799929.1522","4983421998.13407","9800654853.44412","14319480483.0819","19687315203.8296",
"American Samoa","ASM","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","518000000","513000000","460000000","498000000","495000000","505000000","641000000","530000000","364000000","335000000","483000000","458000000","429000000","428000000","429000000","362000000","436000000","399000000","427000000","332000000","409000000","","",
"Antigua and Barbuda","ATG","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1027285185.18519","1016366666.66667","1043081481.48148","988692592.592592","1037966666.66667","1194092592.59259","591277777.777778","752377777.777778","1021455555.55556","","",
"Australia","AUS","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","2413600386.17606","2437120389.93926","2773120443.69927","2796640447.46247","3549280567.88489","3428320548.53129","3525760564.12169","3915520626.4833","4016320642.6113","4378080700.49291","5354720856.75534","5715360914.45775","6663551401.86916","9019859064.70211","11680176860.7222","13874095316.1273","14184298826.9876","15449644413.8564","16122883554.3204","19275247074.8608","24616155988.8579","26334610472.5415","26231932031.3362","24060337550.3733","26235903974.9613","27497313397.1163","27321628427.5322","29290629962.9434","37674402360.871","45333960856.8628","47071479854.3762","52248569798.3159","54226800318.0809","54747048903.8786","58015219647.1809","65793733293.7333","75814054769.3059","83327463879.3804","78166587533.0665","71285875422.9853","80695888525.1996","84096722017.0419","82033782309.5723","89138031450.2038","105490823730.26","126785667301.888","148587374344.676","172570464002.512","212794797279.029","213717313259.647","227427026265.26","299823615768.297","332613569102.522","315055128030.195","309621975144.753","271152836560.501","232663011512.861","281774035049.614","312605804111.245","336477593836.115","319174580744.374","343364164705.654","431702961776.761","463106247223.68","432883024043.448",
"Austria","AUT","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","4210936226.51495","4828104967.50743","5940800642.89541","7945377046.8761","10245142815.0766","11254487635.3006","12352077932.0396","14409079177.4207","18066572538.6146","22832409675.7591","26006988938.5237","23441764299.2915","22623842058.5626","21981186609.4684","22265891616.8076","24230778132.482","31689308697.6115","38996594471.0492","44096573052.4908","46607266770.6708","59423123562.8706","60116253388.3324","64678673929.3764","59900880160.8896","65453948921.8167","80827704381.0564","81256726020.2755","78792189649.3404","83704906625.1667","85506769076.8318","85517700615.7602","88123583855.2769","97162434781.7614","116896445115.898","141284759924.34","153683275028.619","170970399267.409","204559326902.395","230062733001.008","181624739693.597","201088697058.6","232888435640.827","220969205398.673","229883469300.996","236189419666.341","202662480693.772","207329157226.967","225412896932.944","252098473760.43","247609283522.368","224423223720.542","268837449657.887","292323553488.581","304271388937.258","296936817991.745",
"Azerbaijan","AZE","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3896969696.9697","2440000000","383311808.118081","902385596.3991","294957728.987884","785309767.998287","791860069.072703","1150456356.05181","1009304729.90437","1281380721.40315","2118053576.59715","2368581267.17326","2667039717.57852","3056572037.1513","4235083891.66131","8336815027.37934","13953852783.3275","22516209778.5402","32132494340.4494","22870725058.8778","28732245203.09","37215171599.8511","36912727758.7205","35905452997.3577","32558931187.3444","20060045053.3105","17580756547.8197","19839874967.6816","25484215746.0778","23629764705.8824","15208764705.8824","25487647058.8235","47274117647.0588","35487352941.1765","34112882352.9412",
"Burundi","BDI","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","24499998","26250000","28000000","17500000","36750000","16452740.7407407","17828571.4285714","19257142.8571429","18861714.2857143","18371428.5714286","25945142.8571429","21329142.8571429","28961142.8571429","33526569.0812332","33674920.6349206","34839365.0793651","61551304.3478261","96342222.2222222","71443333.3333333","110822222.222222","81022222.2222222","88603333.3333333","103470000","97956966.1108123","113561106.006182","126803836.274753","140881024.787597","110260311.589511","136282900.38819","108560193.991189","89130244.3724271","115775316.368525","94756920.9276871","88062144.1515651","95016968.8478329","129318804.202468","50580560.1981833","95688945.6506315","71499425.9063978","61217971.467102","55005758.5302566","45410971.2771723","38676370.9024088","50072047.4404685","63635537.873214","69261012.7928117","92956380.7267365","92221560.1934208","169242769.206768","117576044.108053","197117146.938277","196752237.563967","226242999.918978","222979901.007493","235295491.81793","199192399.041752","168837908.896205","164138992.722486","151646759.797055","133258587.053003","120542434.078728","138797984.687655","165971200.659665","139067146.383838","",
"Belgium","BEL","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","12006111335.2158","13052184853.2193","16423224269.0862","22932275926.3093","29637776512.0133","30156821322.8036","34528907001.0449","39354961170.5121","46332075060.8428","58067512383.049","63563403228.0315","56620736636.2451","53510783153.8054","52655467455.6213","53687392488.1318","53878264148.3796","68750421708.5064","83463311723.3928","96418786615.469","104389986691.237","126512468614.196","126790048434.731","138072578419.072","126086323460.821","143073453098.626","173144772851.669","170850032573.29","163720906630.582","165908868637.475","166731346437.529","171786761887.373","169538549671.103","183016456470.236","219593071857.725","261796408380.927","286519836951.906","313563958756.941","368740547135.766","418418164815.625","332700938045.898","365156061525.001","423187943008.756","398975576107.852","413572371493.06","427143291974.744","359051241755.781","377606160656.616","417980340772.354","453011551860.862","445308040880.784","419501446549.729","536427846318.596","565356119426.461","542674883879.225","526467154048.828",
"Benin","BEN","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","13852022.2718479","10801828.2565992","8317363.65794275","9703491.99266297","13861515.0554071","21069296.1775784","20739912.1478455","23474430.0040027","30461095.5550875","38939715.9124599","50633276.2786263","59595413.8093809","59023784.7218234","78995257.9259981","79408583.8002942","98337358.6004389","90731937.5535587","121349823.276191","153492202.684211","207784726.879978","222261839.296282","205681907.570707","225297401.750903","150766893.851437","205805472.710193","247338455.095396","222807317.486565","238541726.247604","223654543.994436","202741076.024483","375946888.879365","417201321.36147","393976833.800645","510965440.104994","452687270.137931","593804003.901637","625667798.508943","616436708.452127","665156777.433206","846151104.586659","725304886.00806","728426333.669514","827401656.41962","997331579.809427","1146038651.35219","1213941696.92857","1270214595.80969","1800691335.95807","2167074921.86083","1940710262.92026","2199999385.40112","2229520238.43142","2662421032.36803","3451240666.46384","4175438841.58641","2815204783.04203","3263416597.90044","3455561017.58914","3889962074.25631","4264332526.72108","3117343143.85166","3700039684.26428","3627155580.31394","3935350520.19623","4047363787.06463",
"Burkina Faso","BFA","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","16066015.5277735","19014523.2019842","20997590.0505315","21985467.8188396","11484230.663974","19676611.9401145","21918943.175302","22215435.2110641","28569263.1922709","27823654.5207813","25007054.098666","26587935.4338148","37028534.9708903","42590341.8561142","62500033.8589196","69071585.0515765","80128162.0284074","90048519.1516871","110202772.487273","144182061.699373","172630479.08256","164734426.603165","143789749.49086","126168356.027405","160016200.325","154030064.347859","183075138.96731","269185210.483642","287730449.044585","228834176.818704","340110086.141584","327535406.089611","296949143.50596","286407891.48908","269161995.884847","336477084.673808","273232993.341465","264654980.388452","359254784.850846","283164589.796073","262543948.165201","288539801.148718","321134577.559381","437119286.678813","593230247.614684","604914704.78582","717391852.668023","789151147.099085","959257099.036903","1303153838.06675","2074074305.85765","3164493995.57507","3340989540.70765","3640311286.81321","3755133669.00295","3089098213.34422","3325889850.03121","3731626300.73619","4461756780.16476","4690831780.11539","5632452790.61293","6460208896.64941","5974448854.14295","5866151263.39551","6623364848.43834",
"Bangladesh","BGD","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","427347708.333333","519448541.666667","546086875","531067354.166667","540135791.666667","570741562.5","662275583.333333","675028062.5","623451562.5","690047541.666667","747575145.833333","550621104.166667","356841000","528824097.159748","463095606.326889","563045020.279405","480166471.380471","679513484.162896","738155879.62963","950929356.110381","996555891.472868","1038984088.1273","940219560.878244","986784511.784512","642600000","1199576923.07692","1128533333.33333","1212483870.96774","1442788415.29524","1594548385.95317","1866929977.69423","2062577030.81232","2405649867.37401","2990714285.71429","3039700748.12968","4122014925.37313","4507555012.22494","5075480093.67682","5876850220.26432","6028722961.73045","6588073941.56231","7227575982.20904","6791241511.40519","6876856649.39551","7257329709.52947","9999571015.39225","11741089556.3444","13530265640.2252","16182047682.9643","17359427992.7925","18471882436.8538","25621279024.2428","26877564843.4222","29306607469.6236","32830579729.9485","33831931004.0501","36922447162.046","37655756192.841","40732047404.0872","45992932855.1263","39053880559.8514","44386125441.8587","59275206086.406","57551452000.7801","47087839406.5916",
"Bulgaria","BGR","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","7084153846.15385","7081357142.85714","6631000000","6153111111.11111","7061055555.55556","7341684210.52632","8106529411.76471","11461076923.0769","10277764705.8824","10207166666.6667","6833181818.18182","3316842815.38116","4052954029.39034","4138580850.90962","4373776185.02235","6141757603.7278","5962695838.41609","5610104531.89558","6304226753.8762","5829830705.25048","4797546243.42113","4947372829.68708","5519181983.41338","7277448747.67848","10713332855.0596","12703010482.5958","16151246707.5876","23261999930.0234","28590187694.8689","21963850651.0309","25394223740.2125","33909798230.7328","32766248152.1632","36039694835.7285","36846181919.0697","32381760371.7978","34439814778.1557","39636715495.2756","43570441787.2329","44050873991.5812","39807550749.1845","52185365602.9387","63335730820.5503","63368608161.4535","62622308254.8143",
