Year,GDP($),GDP Growth rate,Export($),Export as % of GDP,Import($),Import as % of GDP,CO2 emission(in tons),CO2 emission from industrial use,CO2 per capita,Temperature change from CO2,Column1,Column4,Column5,Column6
1960,37029883876.1839,,1652701652.70165,4.463156456,2530502530.50253,6.833676657,111.325,,0.202,0.008,,,,
1961,39232435784.0358,0.059480389,1688401688.40169,4.30358619,2337302337.30234,5.957576405,120.404,,0.212,0.008,,,,
1962,42161481858.0819,0.074658787,1757701757.70176,4.168975283,2543102543.10254,6.031814896,132.582,,0.226,0.009,,,,
1963,48421923459.1235,0.148487229,2072702072.70207,4.280503385,2860202860.20286,5.906834458,142.444,,0.236,0.009,,,,
1964,56480289940.9899,0.166419793,2104202104.20210,3.725551173,3210903210.90321,5.684997747,139.488,,0.221,0.009,,,,
1965,59556105229.0052,0.054458206,1969801969.80197,3.307472781,3103803103.80310,5.211561589,153.702,,0.238,0.009,,,,
1966,45581230504.0710,-0.234650582,1888225564.87049,4.14255066,3041036962.37036,6.671686852,159.373,,0.234,0.009,,,,
1967,50134942204.0000,0.09990322,2022666666.66667,4.034444995,2981333333.33333,5.946617673,159.556,,0.233,0.009,,,,
1968,53085455870.6667,0.058851442,2144000000.00000,4.038771006,2624000000.00000,4.94297347,174.069,,0.237,0.01,,,,
1969,58447995017.3333,0.101017106,2170666666.66667,3.71384282,2356000000.00000,4.030933823,177.413,,0.231,0.01,,,,
1970,62422483054.6667,0.068000417,2361333333.33333,3.782825062,2421333333.33333,3.878944276,181.723,17.6317,0.226,0.01,,,,
1971,67351404351.8330,0.078960673,2469914214.15473,3.667205217,2695673511.20478,4.002401341,191.964,18.0141,0.227,0.01,,,,
1972,71464700666.9869,0.061072168,2878233145.16372,4.027489262,2650561669.41144,3.708910336,203.036,19.2107,0.236,0.01,,,,
1973,85517673172.5513,0.196642152,3599236351.42232,4.208763192,4039284329.37006,4.723332826,209.095,18.2683,0.236,0.01,,,,
1974,99526597933.6331,0.163813212,4808449429.90723,4.831321003,5992067751.11516,6.02056925,215.853,17.4845,0.244,0.011,,,,
1975,98473832017.3242,-0.010577734,5560878503.24078,5.647062158,6545472951.44551,6.646916056,234.209,19.2201,0.264,0.011,,,,
1976,102716451979.6800,0.04308373,6868148772.67222,6.686512862,6280792834.30230,6.114690211,244.749,21.1942,0.27,0.011,,,,
1977,121486641441.3090,0.182737907,7754701053.93862,6.383171814,7611052224.17439,6.264929324,258.962,21.3161,0.277,0.011,,,,
1978,137302319828.9950,0.130184506,8670401540.12653,6.314825235,9045733047.41521,6.588186608,263.15,21.8414,0.266,0.011,,,,
1979,152995442497.7090,0.114296122,10326638765.75620,6.749638157,12498452242.39120,8.169166374,276.285,21.6657,0.269,0.012,,,,
1980,186328579302.0680,0.217870129,11439738400.08120,6.139551132,17226125073.37510,9.245025716,291.711,20.377,0.287,0.012,,,,
1981,193491368445.5730,0.03844171,11485699151.05950,5.936026627,16584605960.22230,8.571238135,314.966,23.7712,0.299,0.012,,,,
1982,200715624830.9020,0.037336324,12009417676.70370,5.983299849,16343526468.96220,8.142627901,325.38,24.5697,0.296,0.012,,,,
1983,218262146413.1580,0.087419809,12741335281.07640,5.837629424,17140048793.13690,7.852964463,352.199,25.381,0.315,0.012,,,,
1984,212157645177.6520,-0.027968667,13330716432.20700,6.283401393,16391245674.94130,7.725974551,361.559,28.6708,0.307,0.013,,,,
1985,232511554840.3720,0.095937668,12217447521.80950,5.254554996,17776627208.17640,7.645481198,397.592,30.5943,0.328,0.013,,,,
1986,248985994040.5900,0.070854282,12937864153.59950,5.19622166,17486411449.57570,7.023050239,426.309,32.5036,0.345,0.013,,,,
1987,279033584092.2230,0.120679841,15638662913.98390,5.604580884,19477194741.10340,6.980233152,455.343,34.5516,0.361,0.013,,,,
1988,296589670895.9320,0.062917469,17899838408.93760,6.035219755,22111443193.38150,7.455230361,491.692,38.2864,0.383,0.014,,,,
1989,296042052944.6600,-0.001846382,20770696112.09470,7.016130278,24133353522.48120,8.152001813,540.651,40.9799,0.401,0.014,,,,
1990,320979026420.0350,0.084234565,22639774911.55250,7.053350234,27132072318.02100,8.452911276,577.996,43.0625,0.424,0.014,,,,
1991,270105341879.2260,-0.158495354,22943398073.29950,8.494240771,22941358805.15200,8.493485781,615.365,46.6906,0.445,0.015,,,,
1992,288208070278.0130,0.067020994,25486029046.69750,8.842926925,27639649994.19000,9.590172117,655.447,45.801,0.456,0.015,,,,
1993,279295648982.5290,-0.030923566,27466541462.91350,9.834217455,27419354118.76330,9.817322332,677.299,48.4257,0.47,0.015,,,,
1994,327274843459.4290,0.171786401,32361214431.43210,9.888084916,33349501147.70890,10.19005946,714.064,51.8397,0.484,0.016,,,,
1995,360281909643.4890,0.100854272,39068855117.85180,10.84396804,43318425767.77070,12.02348067,760.462,55.2221,0.491,0.016,,,,
1996,392896866204.5160,0.090526212,40803004618.17540,10.38516927,45357266003.20210,11.5443186,823.621,57.7351,0.515,0.016,,,,
1997,415867563592.8290,0.058464954,44459225642.53920,10.69071732,49607467421.08910,11.92866955,858.011,63.6654,0.528,0.017,,,,
1998,421351317224.9410,0.013186298,46426465025.04770,11.01846918,53431564328.42240,12.6810009,875.772,70.8923,0.515,0.017,,,,
1999,458821052615.7900,0.088927538,52544483402.69360,11.45206461,61314704757.03450,13.36353343,960.763,69.843,0.54,0.018,,,,
2000,468395521654.4580,0.020867545,60878472821.20040,12.99723631,65124245375.05310,13.9036866,986.445,71.4294,0.542,0.018,,,,
2001,485440139204.1710,0.036389369,60963415576.64470,12.55837963,65218276482.13220,13.43487512,1000.527,73.9448,0.54,0.019,,,,
2002,514939140318.7560,0.060767536,73452895951.63310,14.26438392,78498759285.73130,15.24427901,1032.14,79.6884,0.545,0.019,,,,
2003,607700687237.3180,0.180140797,90838575243.76210,14.94791386,95071869378.55730,15.64452227,1067.737,83.3818,0.56,0.02,,,,
2004,709152728830.7750,0.166944096,126648472020.75200,17.85912496,139310848797.43600,19.6446891,1133.828,87.6621,0.59,0.02,,,,
2005,820383763511.4450,0.156850605,160838260680.77800,19.60524669,183736617243.32800,22.39642292,1194.592,92.3812,0.625,0.021,,,,
2006,940259888787.7210,0.146122011,199973922363.78300,21.26794142,229955027127.37200,24.45653908,1292.485,97.2354,0.66,0.021,,,,
2007,1216736438834.9600,0.294042693,253077526013.16800,20.79969975,302803952552.50000,24.88656893,1392.506,107.234,0.708,0.022,,,,
